Purpose,Pattern,,
Site supernet,10.site.0.0/16,,
Loopback,10.site.255.x/32,,
P2P,10.site.254.x/31,,
Users VLAN,10.site.10.0/24,,
Servers VLAN,10.site.20.0/24,,
Mgmt VLAN,10.site.250.0/24,,
Inter-AS Transit,172.16.x.x/31,,
,,,
Site,ASN,Supernet,
Moscow,65001,10.1.0.0/16,
SPB,65002,10.2.0.0/16,
Lamas,65003,10.3.0.0/16,
Kitorn,65004,10.4.0.0/16,
Triada,65005,10.5.0.0/16,
,,,
Purpose,Pattern,,
Mgmt subnet,10.site.250.0/24,,
Gateway,10.site.250.1,,
Device mgmt IP,10.site.250.device-id,,
,,,
,,,
,,,
,,,
Moscow AS65001  Loopback - Mgmt IP,,,
Device,Loopback,Mgmt IP,
R12,10.1.255.12/32,10.1.250.12/24,
R13,10.1.255.13/32,10.1.250.13/24,
R14,10.1.255.14/32,10.1.250.14/24,
R15,10.1.255.15/32,10.1.250.15/24,
R19,10.1.255.19/32,10.1.250.19/24,
R20,10.1.255.20/32,10.1.250.20/24,
,,,
Moscow AS65001  Switch Mgmt,,,
Device,Mgmt VLAN,Mgmt IP,
SW2,VLAN250,10.1.250.102/24,
SW3,VLAN250,10.1.250.103/24,
SW4,VLAN250,10.1.250.104/24,
SW5,VLAN250,10.1.250.105/24,
,,,
,,,
,,,
Moscow AS65001 — P2P,,,
Link,Network,Side A,Side B
R12-R14,10.1.254.0/31,10.1.254.0,10.1.254.1
R12-R15,10.1.254.2/31,10.1.254.2,10.1.254.3
R13-R14,10.1.254.4/31,10.1.254.4,10.1.254.5
R13-R15,10.1.254.6/31,10.1.254.6,10.1.254.7
,,,
Moscow AS65001 — VLAN,,,
VLAN,Name,Subnet,Gateway
10,Users,10.1.10.0/24,10.1.10.1
20,Servers,10.1.20.0/24,10.1.20.1
250,Mgmt,10.1.250.0/24,10.1.250.1
,,,
,,,
SPB AS65002 — Routers,,,
Device,Loopback,Mgmt IP,
R16,10.2.255.16/32,10.2.250.16/24,
R17,10.2.255.17/32,10.2.250.17/24,
R18,10.2.255.18/32,10.2.250.18/24,
R32,10.2.255.32/32,10.2.250.32/24,
,,,
SPB AS65002  Switches,,,
Device,Mgmt VLAN,Mgmt IP,
SW9,VLAN250,10.2.250.109/24,
SW10,VLAN250,10.2.250.110/24,
,,,
SPB AS65002 — P2P,,,
Link,Network,Side A,Side B
R16-R18,10.2.254.0/31,10.2.254.0,10.2.254.1
R17-R18,10.2.254.2/31,10.2.254.2,10.2.254.3
,,,
SPB AS65002 — VLAN,,,
VLAN,Name,Subnet,Gateway
10,Users,10.2.10.0/24,10.2.10.1
20,Servers,10.2.20.0/24,10.2.20.1
250,Mgmt,10.2.250.0/24,10.2.250.1
,,,
,,,
Lamas AS65003 - Routers,,,
Device,Loopback,Mgmt IP,
R21,10.3.255.21/32,10.3.250.21/24,
,,,
Lamas AS65003 — P2P,,,
Link,Network,Side A,Side B
R21-Internal,10.3.254.0/31,10.3.254.0,10.3.254.1
,,,
,,,
Kitorn AS65004  Routers,,,
Device,Loopback,Mgmt IP,
R22,10.4.255.22/32,10.4.250.22/24,
,,,
Kitorn AS65004  P2P,,,
Link,Network,Side A,Side B
R22-Internal,10.4.254.0/31,10.4.254.0,10.4.254.1
,,,
,,,
Triada AS65005  Routers,,,
Device,Loopback,Mgmt IP,
R23,10.5.255.23/32,10.5.250.23/24,
R24,10.5.255.24/32,10.5.250.24/24,
R25,10.5.255.25/32,10.5.250.25/24,
R26,10.5.255.26/32,10.5.250.26/24,
,,,
Triada AS65005 — P2P,,,
Link,Network,Side A,Side B
R23-R24,10.5.254.0/31,10.5.254.0,10.5.254.1
R23-R25,10.5.254.2/31,10.5.254.2,10.5.254.3
R24-R26,10.5.254.4/31,10.5.254.4,10.5.254.5
R25-R26,10.5.254.6/31,10.5.254.6,10.5.254.7
,,,
Cherepovets AS65006  Routers,,,
Device,Loopback,Mgmt IP,
R27,10.6.255.27/32,10.6.250.27/24,
,,,
Cherepovets AS65006  P2P,,,
Link,Network,Side A,Side B
R27-Internal,10.6.254.0/31,10.6.254.0,10.6.254.1
,,,
,,,
Vologda AS65007 Routers,,,
Device,Loopback,Mgmt IP,
R28,10.7.255.28/32,10.7.250.28/24,
,,,
Vologda AS65007  Switches,,,
Device,Mgmt VLAN,Mgmt IP,
SW29,VLAN250,10.7.250.129/24,
,,,
Vologda AS65007  P2P,,,
Link,Network,Side A,Side B
R28-SW29,10.7.254.0/31,10.7.254.0,10.7.254.1
,,,
Vologda AS65007  VLAN,,,
VLAN,Name,Subnet,Gateway
10,Users,10.7.10.0/24,10.7.10.1
250,Mgmt,10.7.250.0/24,10.7.250.1
