hostname,kind,site,asn,loopback,mgmt_inband
R12,router,Moscow,65001,10.1.255.12/32,10.1.250.12/24
R13,router,Moscow,65001,10.1.255.13/32,10.1.250.13/24
R14,router,Moscow,65001,10.1.255.14/32,10.1.250.14/24
R15,router,Moscow,65001,10.1.255.15/32,10.1.250.15/24
R19,router,Moscow,65001,10.1.255.19/32,10.1.250.19/24
R20,router,Moscow,65001,10.1.255.20/32,10.1.250.20/24
R16,router,SPB,65002,10.2.255.16/32,10.2.250.16/24
R17,router,SPB,65002,10.2.255.17/32,10.2.250.17/24
R18,router,SPB,65002,10.2.255.18/32,10.2.250.18/24
R32,router,SPB,65002,10.2.255.32/32,10.2.250.32/24
R21,router,Lamas,65003,10.3.255.21/32,10.3.250.21/24
R22,router,Kitorn,65004,10.4.255.22/32,10.4.250.22/24
R23,router,Triada,65005,10.5.255.23/32,10.5.250.23/24
R24,router,Triada,65005,10.5.255.24/32,10.5.250.24/24
R25,router,Triada,65005,10.5.255.25/32,10.5.250.25/24
R26,router,Triada,65005,10.5.255.26/32,10.5.250.26/24
R27,router,Cherepovets,65006,10.6.255.27/32,10.6.250.27/24
R28,router,Vologda,65007,10.7.255.28/32,10.7.250.28/24
SW2,switch,Moscow,65001,,10.1.250.102/24
SW3,switch,Moscow,65001,,10.1.250.103/24
SW4,switch,Moscow,65001,,10.1.250.104/24
SW5,switch,Moscow,65001,,10.1.250.105/24
SW9,switch,SPB,65002,,10.2.250.109/24
SW10,switch,SPB,65002,,10.2.250.110/24
SW29,switch,Vologda,65007,,10.7.250.129/24
