device_a,iface_a,device_b,iface_b,network
R12,Ethernet0/2,R14,Ethernet0/0,10.1.254.0/31
R12,Ethernet0/3,R15,Ethernet0/1,10.1.254.2/31
R13,Ethernet0/3,R14,Ethernet0/1,10.1.254.4/31
R13,Ethernet0/2,R15,Ethernet0/0,10.1.254.6/31
R14,Ethernet0/3,R19,Ethernet0/0,10.1.254.8/31
R15,Ethernet0/3,R20,Ethernet0/0,10.1.254.10/31
R16,Ethernet0/1,R18,Ethernet0/0,10.2.254.0/31
R17,Ethernet0/1,R18,Ethernet0/1,10.2.254.2/31
R16,Ethernet0/3,R32,Ethernet0/0,10.2.254.4/31
R23,Ethernet0/2,R24,Ethernet0/2,10.5.254.0/31
R23,Ethernet0/1,R25,Ethernet0/0,10.5.254.2/31
R24,Ethernet0/1,R26,Ethernet0/0,10.5.254.4/31
R25,Ethernet0/2,R26,Ethernet0/2,10.5.254.6/31
R14,Ethernet0/2,R22,Ethernet0/0,172.16.0.0/31
R15,Ethernet0/2,R21,Ethernet0/0,172.16.0.2/31
R21,Ethernet0/1,R22,Ethernet0/1,172.16.0.4/31
R22,Ethernet0/2,R23,Ethernet0/0,172.16.0.6/31
R21,Ethernet0/2,R24,Ethernet0/0,172.16.0.8/31
R25,Ethernet0/1,R27,Ethernet0/0,172.16.0.10/31
R26,Ethernet0/1,R28,Ethernet0/0,172.16.0.12/31
R25,Ethernet0/3,R28,Ethernet0/1,172.16.0.14/31
R18,Ethernet0/2,R24,Ethernet0/3,172.16.0.16/31
R18,Ethernet0/3,R26,Ethernet0/3,172.16.0.18/31
